TIME,CP3,C3,F5,PO3,PO4,F6,C4,CP4
0,60.24458952434937,29.578040410941558,59.41311565128506,-3.0543134244433143,2.5120714300199722,-63.810194525815945,-56.27009129871385,-52.03921630895377
1,50.544620500247916,26.637733475918147,65.81372524328907,-6.178316921169759,-2.876600839830523,-71.10426099075421,-68.81073488447257,-56.72889501252221
2,52.90878902314201,27.55412676690518,68.01709566890142,-7.41874449038197,-5.021832275203784,-57.80477081328419,-63.96498146746096,-42.108541636551436
3,61.46113037929714,30.469986808451175,73.4925965555825,-6.982209273536759,-3.60773831730521,-39.26541899079795,-57.264743445090595,-25.117348074099514
4,59.555734295540034,23.49916504139093,75.21608235701174,-17.558146160537575,-11.65645102142338,-30.442336712972363,-60.54954029427675,-17.094569607650456
5,55.72633028266936,14.938789330717428,72.84892141278307,-30.801867954175115,-22.11236564706669,-36.33875563577137,-75.2779089615843,-20.599839225950706
6,56.08720153314899,15.825736806703528,76.02275544593766,-32.46714792035908,-22.440425825279902,-58.04667715096242,-101.86100241122278,-38.865468034131574
7,46.61514875258422,15.986535226528147,80.5534448452208,-33.22565914503727,-24.209181540961175,-90.21511772778652,-136.64464829559,-69.27152574486085
8,33.92808474025385,13.129224255026305,80.91090424849355,-39.048824333390485,-32.50340098909733,-117.84407956715131,-166.5161069111093,-97.75750787905055
9,34.478464546666864,17.56418959860112,86.88332938187651,-38.590311003590216,-34.10268269152249,-133.28218905111476,-185.01684937176148,-116.84740557426264
10,37.933985153348814,23.105260463854155,99.47861454529402,-34.48550115219539,-30.5162481978087,-141.14938871125554,-195.98464602962184,-128.23860828184849
11,33.49420278402248,19.672255394506152,103.51825210954433,-36.19584528873492,-31.21309135010255,-144.2245106876445,-199.8307732827879,-130.08612978141417
12,32.10200303914433,17.139643523888903,98.26177159027421,-33.020375725386785,-26.311928612739507,-143.90615184751442,-198.03226086386027,-126.03768877301817
13,30.72154527663892,17.91152734072145,91.94495970075027,-21.97578609199642,-14.138876555774518,-147.14722923268027,-200.4724363088386,-128.9452985603126
14,17.610515238508683,10.62108083567071,82.75953792449012,-19.739988243440088,-11.733803310879583,-155.64404431984042,-210.78301910211945,-141.43854376499465
15,7.070215808828938,1.2875874192428567,74.15790635868704,-25.706247960839754,-17.658637709147513,-163.0465054193167,-221.82211494789883,-153.17959389978844
16,10.212942949879118,1.3409658327371297,78.91987138670964,-26.882180070471723,-18.39577908082518,-168.20419952675414,-231.53332167641622,-161.16996560428026
17,11.148521052465066,1.623832679565651,90.54287485815355,-29.591406163028594,-20.429672269040253,-172.54514136355724,-239.5602029531981,-165.39813899558874
18,5.5694407290651915,-3.2330768752609114,93.73881746121805,-38.55070065326174,-28.76061409205844,-172.56267481972824,-240.54576818281578,-162.08515392643162
19,5.468217396827321,-2.9758336329418027,91.51359637468062,-40.23349229229677,-30.317342725217024,-169.99025740334466,-236.77301578156118,-155.916495428214
20,1.9655338918119272,-2.1995565482289194,88.71886321161247,-37.20110287381204,-27.86110976105,-175.19740545896622,-240.92552334076456,-160.066557239612
21,-11.655579127062506,-10.045801142190228,80.03234878111577,-42.257362311613555,-33.425836249974125,-190.00006358114237,-255.4000154886713,-173.94820106842613
22,-17.898139358217854,-14.956688531494379,72.03255831682887,-46.739883110596466,-37.51773121757981,-206.37299686367015,-272.9498427224768,-188.90691358349665
23,-12.767818169866107,-9.383714837054448,75.86029986511387,-41.47225239478152,-31.222845047470898,-217.28951009798135,-287.48413730642744,-200.7270327354146
24,-11.413884243151625,-4.801593105119293,82.25302008613747,-37.387323302005164,-26.338945112996573,-214.80126598831353,-289.0469864488137,-200.97916910856583
25,-8.781957949290629,-1.8675882791703486,81.06116853843292,-35.08906112927611,-24.304909798975803,-192.47064749967655,-268.0650223868722,-180.1333925660598
26,0.047859723447714275,4.445872408710165,78.65872772362546,-26.18547466667118,-17.00196767878159,-162.44558087046286,-236.6910076304723,-150.0039681735521
27,-2.3686724283892193,3.102316291932043,76.47493150141527,-21.293837090177465,-14.10694009757239,-147.49029321479134,-219.7409644455784,-134.7316120309134
28,-18.634523541168615,-10.646193294147468,68.68742463999503,-29.9411776480121,-23.692273338805215,-157.37550371931542,-228.13684077579137,-143.95926843818287
29,-28.453648079340173,-19.921885702075752,65.47783721962512,-37.303301065000134,-30.333049464653044,-188.69571489525038,-259.4833379090762,-175.3999512567613
30,-30.056261649869814,-19.59435508962443,73.50247353188257,-37.28964393939525,-28.78220665313755,-230.82241512774982,-303.11678637596674,-218.77397802078545
31,-31.795607064410216,-19.37563854208897,80.13795434709189,-40.04728434123493,-30.602231417542143,-261.5019230810524,-335.08112317074483,-249.94665713928617
32,-24.20877310242532,-15.080040073686792,80.71306086582393,-39.38942302384169,-30.22728720397209,-260.2344487195568,-333.723889456935,-247.56860723961546
33,-10.499301908413454,-4.475609327445612,82.2362692568584,-28.57290012009195,-20.469215763062586,-229.73688380789878,-302.71600428576284,-217.59104298385196
34,-13.259706883245702,-3.1208438836938432,77.18134240223989,-23.285455918423345,-16.156835555115006,-187.92574124224336,-259.6399293147113,-178.40741906053796
35,-29.915892194489356,-12.786215317988194,60.443686056516704,-29.29228042721494,-22.29495241149408,-152.62236274470803,-221.50720591255705,-145.58448935490912
36,-42.38192138972286,-19.239221053777392,46.20110899389564,-33.286890674619016,-25.675833446520038,-140.8983499546108,-205.83619797035124,-134.76483272846394
37,-57.41005797203533,-26.13990685437782,40.97874713162472,-39.20239387824071,-31.085742736015025,-161.44529269537577,-222.2568911752168,-154.56230591538628
38,-75.70089305269452,-37.5148001728661,39.16057842011353,-52.454599335114196,-44.147204888485994,-200.82172849852157,-257.08308650612094,-191.54357580603096
39,-77.94247703410633,-38.836719541350966,45.194395377428165,-56.49946601021469,-48.00374790160185,-235.98416976601175,-287.43058914876667,-225.60029598314176
40,-66.59787551226285,-28.49674648226562,60.2856076399532,-46.29908581959211,-37.800148403965885,-252.27883774147136,-299.2418075205759,-244.90215345893535
41,-59.17542809177725,-22.54072104088243,68.40378756081046,-39.51180525972102,-31.234193489638244,-242.90405224704165,-285.51025755993385,-240.57708491404878
42,-49.09452452211357,-19.740271430340023,64.96772994234964,-37.944361006474814,-29.80581367751662,-209.66063979071674,-248.37596707750964,-211.40133082981745
43,-34.662558074104595,-14.496583256033466,61.26861138198116,-34.232085528981905,-26.57888100114154,-171.26546643463854,-207.69706727710792,-175.0927929960186
44,-34.68175870473506,-16.974771005850997,57.84574151360792,-36.79178793723953,-30.495847755826176,-149.2386512103368,-184.54097872555835,-152.47686851812261
45,-46.71984489206601,-26.862904386025917,50.49714912096485,-45.626112217179525,-41.450164643235254,-148.74558270134654,-182.10222358928416,-148.2973507627135
46,-52.130436830016954,-29.04290830550482,49.54116603792711,-43.005506464831896,-41.83260236681964,-164.6575184070846,-195.2112637651445,-160.73322398452876
47,-54.97754942315169,-26.372334652939195,56.864078955205784,-31.219387082114007,-33.50686070333793,-186.88830991940125,-214.19825333843173,-181.52870892962028
48,-60.39049137333675,-28.5606940029027,59.846722549427554,-25.96071481163424,-30.260809072191357,-196.99106279027689,-219.72307432572612,-189.99505866698286
49,-54.53001633947187,-26.77389260568171,58.31131460416349,-21.602312199154373,-25.084794369353553,-182.74331289306392,-199.1704839710233,-172.2880661723514
50,-41.67044125295126,-18.982153515365663,58.91406904335735,-13.592240322514307,-14.065273325227537,-151.52279285413238,-161.51125690301632,-138.30592555694383
51,-40.26076272885973,-18.82798602212218,52.86768512303626,-13.674511987219546,-10.89222180228695,-116.91467208561754,-120.87009495146751,-101.96030067160311
52,-44.17937403564474,-24.00648386950455,37.831076396302535,-19.21801775867692,-14.606618375171898,-88.8138305186582,-88.1148863877757,-73.67476000939078
53,-40.927536199988495,-22.024255020895247,27.531743432353373,-16.36210407264894,-11.843564677059806,-75.09752959304694,-72.53537391210068,-63.4460523034883
54,-38.85008893915587,-18.501585486791317,21.419065850883925,-12.266306740509503,-8.972584663564266,-75.26302666269535,-72.15932049737651,-68.63897648817318
55,-36.345750272761336,-16.911191888185645,9.90322642950737,-14.914641249465848,-12.293314652335578,-76.18398426366775,-70.53200411415067,-71.11704050213442
56,-23.089086726598005,-8.216373167898073,0.7902160138865773,-14.088448022166517,-10.923550531280263,-70.34280957401916,-59.41543483190039,-63.8650109567601
57,-12.070832992731077,1.3889228029966514,0.8901141235625278,-10.11388882868907,-6.300001650343452,-63.092704096512534,-45.96403601260719,-55.66244057335936
58,-17.592876388596153,-2.5035471177494983,1.2964868536311158,-15.922558100893754,-12.359144106960166,-57.84846247166283,-36.113235311137686,-50.96866769492466
59,-25.193016549869746,-10.364160503338507,3.685638559209764,-22.495378290259247,-20.148440562459424,-53.54678670893027,-31.19953682478569,-49.95511954737298
60,-27.31988689633194,-11.868005208295427,13.988690607027277,-18.604130126501527,-18.115015923446162,-53.162088497333194,-34.55749366108935,-55.54877329669342
61,-34.3936672193332,-15.343275920225643,20.714110322576218,-15.492426401924586,-16.75685917070944,-56.708433540656365,-43.39559087740356,-64.12350718117806
62,-39.925020648890424,-19.128074490331695,16.569138988072854,-15.825934646728934,-17.834091939186294,-59.291280934700936,-48.699616976775204,-67.08069756585878
63,-34.429834888846216,-13.3093039551657,15.15198337096918,-9.19442670452247,-10.598867808122412,-62.50290946959532,-51.3807856224776,-68.14203952614558
